,full_game_appid,demo_appid,name
287,2419410,3164080,Sky Fury Demo
288,3117660,3163060,绯红编年史 ~ Chronicle of Scarlet ~ 试玩版
289,3138270,3163080,STUX.net Demo
290,2983140,3162210,Trials of Innocence DEMO
291,2880130,3162250,Sublimity Demo
292,2540650,3161620,Keyframes Demo
293,3069120,3161800,不恋爱就完蛋了Love Curse: Find Your Soulmate Demo
294,3136380,3161000,Space Menace 2 Demo
295,2992570,3160350,芙兰杂感记录 Demo
296,2929590,3160370,All Fridges Are Psychotic Demo
297,3160140,3160430,ENDER (Alpha)
298,3084620,3160100,Futariuum's Gate Demo
299,3041760,3159410,Procedural Studio Demo
300,3145370,3158960,Muffles' Life Sentence EPISODE 1
301,3145050,3158640,Blow Out Demo
302,2660240,3158780,CUPRUM2929 Demo
303,3109830,3158020,Peacequarium Demo
304,2997110,3158090,Slasher: Origins Demo
305,3138580,3158230,Transmorphosis Demo
306,3127480,3158250,CornField Demo
307,2892230,3157370,Box Zombies Demo
308,2369850,3155820,Dolven Demo
309,3146930,3155350,Aldoria Demo
310,2730540,3155230,Card-en-Ciel Demo
311,3068580,3155280,Divine Dynamo Flamefrit Demo
312,3118620,3154040,AERO BATTLE ROYALE Demo
313,2341620,3152510,Alpine Lake Demo
314,3145060,3152620,Never Stop Rolling Demo
315,3129150,3152080,Super Chillers: The Chat Room - DEMO
316,1526190,3152180,Mysteries of Shaola: The Cave Demo
317,1971900,3296020,ATOMIC TITANS DEMO
318,3293660,3295330,Cartier 06 Demo
319,3142280,3295400,浮生若梦-蜀宫 Demo
320,2645690,3295450,Kaidro: Clan Battles Demo
321,3290180,3295500,Adhvan Chakra Demo
322,3124020,3295660,Darby Is Here Forever Demo
323,3149530,3294470,Anarchy Hops Demo
324,3280980,3293840,Mimic Alert Demo
325,3190580,3293910,梦境少女demo
326,3150620,3293610,SOVIET SPOOKY TALES: Green Eyes Demo
327,2701070,3293200,Major\Minor 2.0: (Re)Vision Demo
328,2094090,3292450,Unreal Table Ball Demo
329,3166110,3292700,Clumsy Rocketship Demo
330,2349570,3291940,oneway.exe Demo
331,3292010,3292080,Isekai-ya Demo
332,3125710,3291590,Fake Ducks: Spooky Chronicles Demo
333,2102770,3291610,EvoLife Demo
334,3214530,3290170,Treasure 'n Trio Demo
335,3277610,3289030,Ahon - Short Demo
336,1637180,3288370,Yesterdreamt Demo
337,3115350,3287780,Spritz the Happy Onion Demo
338,3152600,3288080,Cave Of Horrors Demo
339,2483470,3287340,Cracked Demo
340,3287020,3287030,Fatrifice 3 Demo
341,3185790,3286400,Seeking My Fate: Medieval Fantasy Demo
342,2940830,3285560,Streets of Handbags Demo
343,3284880,3284950,Solitaire Flowerscapes Demo
344,2553580,3285160,Go Marbles! Demo
345,3019060,3284440,7Years Demo
346,3198400,3284060,Cat Tree Demo
347,2428920,3283390,Painted Peril Demo
348,1813980,3283400,Streetball Fury Demo
349,3204960,3283140,Bullet Noir Demo
350,3008890,3282620,Rolus in the Outskirts Demo
351,3205600,3281830,The Libido Enigma Demo
352,2075760,3282020,Mech Shuffle Demo
353,3194720,3281640,Chimera Capsule Demo
354,3051030,3281670,LEENIE'S TALE Demo
355,2559880,3280880,Z Ops: DeadZone - Demo
356,3179170,3279890,Mo 'n Fro Demo
357,3170550,3279660,相亲模拟器 Demo
358,2889740,3278800,Night Castle Demo
359,3190620,3279110,Byte The Dust Demo
360,1024120,3277680,Túatha Echos: The Village Demo
361,3187490,3277780,Symphony of the Stars Demo
362,2468950,3277960,"Bonding, Now - Demo"
363,3278000,3278030,Prophecrawl Demo
364,1748330,2111650,Sand: A Superfluous Game Demo
365,2099880,2110010,アプリヴァル　モノノ村開拓日記 Demo
366,2083330,2110100,An old school adventure fps - Go To Hell Demo
367,1668290,2110280,Dungeons of Aether Demo
368,2025610,2109760,Once Again Demo
369,2108080,2108170,Anant Shrankhla Demo
370,780390,2106710,Space Bob vs. The Replicons Demo
371,1582680,2106780,"Trolley Problem, Inc. Demo"
372,1960070,2106900,RIN - The Last Child Demo
373,1578720,2106310,Scrabdackle Demo
374,2021950,2106380,Scarpone Scamps Demo
375,1674120,2105710,Red Rust Demo
376,1918110,2104020,Simultaneous Control Demo
377,2067120,2104070,Jurassic Lab: Dinosarium DNA Demo
378,2103340,2103570,Paragon Pioneers Demo
379,1800230,2103030,Alternate Universe Demo
380,2097090,2102290,Snow Problem Demo
381,1544640,2102600,King of Sweets Demo
382,1723610,2101540,The Parasites Demo
383,1888070,2099840,Drain Mansion Demo
384,2008270,2099540,Biters & Bullets Demo
385,2096710,2098420,听不到你的话语的我，想要静静聆听你的心 Demo
386,1981570,2096590,Land of the Vikings Demo
387,2096730,2096760,Peebi Demo
388,2080450,2094460,The Empress Quest : Full Moons Saga Demo
389,2065090,2094030,John Brick Demo
390,1955850,2092360,Basureroes: Invasion Demo
391,808770,2090110,Headspun Demo
392,2068400,2090440,Radiant Cell Demo
393,1408930,2089940,好吃的柯基 Demo
394,1783360,2089950,Meg's Monster Demo
395,1989770,2088390,Chickenoidz Super Party Demo
396,1829170,2087930,NoiseBox.噪音盒子 Demo
397,2059550,2086930,Brain Syndrome VR Demo
398,1971790,2087100,Uligo: A Slime's Hike Demo
399,1580180,2085720,Gunbrella Demo
400,2079410,2085750,The Tsar's Secret Demo
401,1727900,2085050,Cyberpunk Samurai VR Demo
402,1426540,2084400,Angry Cat Demo
403,1602570,2084530,Life as Designed Demo
404,2081760,2084290,The Pale Demo
405,2004960,2081510,Slam and Roll Demo
406,2075110,2081260,Incarnation Demo
407,1956260,2080120,Cities Virtual Reality Demo
408,2072540,2079420,icosi-do Demo
409,2074440,2078870,Master of the Tattooverse Demo
410,1454130,2078440,Ezra's Legacy Demo
411,1461810,2076330,蜀山：初章 Demo
412,1575640,2076190,SOL CRESTA Dramatic Edition Trial Version
413,1635640,2075740,Rhythm Quest Demo
414,1756550,2073860,Code.Breaker() Demo
415,1247290,2073300,GameGuru MAX Demo
416,2071200,2072050,The Bad Kids Demo
417,2072160,2072180,COASTLINE Demo
418,2056990,2069780,MastEr Demo
419,1746030,2068780,Murders on the Yangtze River Demo
420,2007240,2068510,Lil' Horror Stories: The Camp Fire Demo
421,2067270,2068300,Herogue Demo
422,1999140,2067500,Extraneum Demo
423,1970580,2066510,Backpack Hero Demo
424,2052660,2066120,Gorgon's quest Demo
425,2056890,2066180,Court of Crowns Demo
426,2062220,2064990,HEAVENSCAPE Demo
427,2063390,2064920,V.A Proxy Demo
428,2011210,2063980,Angy Demo
429,1097350,2063780,Weird West - The Bounty Hunter Journey
430,2059760,2063410,Elden Gunfire 2 Demo
431,1997270,2063470,PUT PUD Nudli's Adventure Demo
432,2025710,2062290,Koatl el Defensor: Los túneles perdidos Demo
433,2059480,2060300,Interrogation Simulator Demo
434,1851840,2057960,Kitsune Battlemage Demo
435,1791580,2057450,The Lilliput Workshop Demo
436,1919240,2056950,Spelldash Demo
437,1733840,2056010,Yurukill: The Calumniation Games Demo
438,2027810,2055230,DracoFighter Demo
439,1923500,2054840,Twilight's Final Judgement Demo
440,2054180,2054980,KONKORD Demo
441,2009500,2054170,What's Missing? Demo
442,1162860,2053430,Keepsake County Demo
443,1579100,2053510,Dungeon and Gravestone DEMO
444,1827260,2052330,The Lawyer - Episode 1: The White Bag Demo
445,1891550,2051270,The Legend of Mythos Demo
446,1151130,2051610,Dark Chess Demo
447,1822230,2027980,ココロクローバー シーズン1 Demo
448,2017590,2027720,三毫子大冒險 Demo
449,1920840,2026400,Heavy Hearts Demo
450,1829700,2026620,Super Brawl Rush Demo
451,1534000,2026770,Asteroid Arena Demo
452,1707970,2026780,Arafinn Kontor Demo
453,1939700,2026220,G-ZILLA: Return of the Aliens Demo
454,1754250,2025640,We Took That Trip Demo
455,1947810,2025430,Being a Penguin Demo
456,1628120,2024980,Rollers of the Realm: Reunion Demo
457,1155330,2022460,Showgunners Demo
458,1804610,2022660,Recollection Demo
459,2022120,2022130,PieceWars Demo
460,1865060,2021450,14 Minesweeper Variants Demo
461,2014930,2021780,A Last Will and Testament Demo
462,1367710,2021160,Dixotomia Demo
463,1335520,2020200,TAnima Demo
464,1835570,2020230,BioCrisis : Return 2 the Lab Demo
465,973230,2020240,We Who Are About To Die Demo
466,1579330,2019500,of pawns & kings Demo
467,1997300,2019560,Pretty Girls Escape Demo
468,1492730,2019400,DORAEMON STORY OF SEASONS Friends of the Great Kingdom Demo
469,1937720,2018800,Kamifuda Demo
470,1826770,2017710,Alice is Dead: Hearts and Diamonds Demo
471,1174270,2017970,IKO 39 Demo
472,1831830,2017280,Chessarama Demo
473,1764280,2016710,Dungeon of Amber Griffin Demo
474,1291860,2017070,Rough Justice: '84 Demo
475,2017090,2017100,MOONMAN Demo
476,1623520,2016360,TowerOfCards Demo
477,1975790,2015970,VergeWorld Demo
478,1914530,2013890,The D-T.E.A.M. Demo
479,1987550,2013350,Via Mortis Demo
480,1832950,2013410,One More Gate: A Wakfu Legend Demo
481,1632100,2013470,Courier Tale Demo
482,1525640,2012280,The Build And Race Hotrod Game Demo
483,1962130,2012640,CubeLoop Demo
484,1937670,2012130,Melobot - A Last Song Demo
485,1372110,2011600,JoJo's Bizarre Adventure: All-Star Battle R Demo
486,1820570,2011380,Panic Porcupine Demo
487,1283980,2011450,Retro Ride Demo
488,1745700,2010810,Impossible Slasher! Hack and Slash Demo
489,1774630,2010940,Hallowlands Demo
490,1925660,2010230,All Songs Are From The King Demo
491,1858650,2009810,In Sink Demo
492,1213300,2009290,Awaking GODSOUL_Demo
493,1455510,2009440,Dragon's Hoard Demo
494,2008670,2008940,RalphGame Demo
495,1899570,2008620,NUN Demo
496,2007460,2007830,Boralaa Demo
497,1319400,2008190,The Sunny Life Demo
498,1878290,2006590,Project Utgardr demo
499,1941550,2004750,The Coven of Calahree Demo
500,1905900,2003850,King Rabbit - Race Demo
501,1931010,2001550,Spirittea Demo
502,1771130,2001700,OPEN DOOR Demo
503,1495380,2001810,Tricky Machines Demo
504,1346360,2001820,Old Skies Demo
505,849100,2000330,Alaskan Road Truckers Demo
506,1910180,1998480,Ghosts of Hollow Creek Demo
507,1606030,1998740,The Tower of Wowers Demo
508,1867510,1998210,WrestleQuest Demo
509,1492750,1996120,Mega Knockdown Demo
510,1728660,1995970,Rush Rally Origins Demo
511,1525050,1995150,Jerry Wanker and the Quest to get Laid Demo
512,1858120,1994250,Generic RPG Idle Demo
513,1766100,1993490,The Last Hero of Nostalgaia Demo
514,1744760,1993500,The Adventures of Detective Bron Demo
515,1992930,1993070,It's Time Demo
516,1856840,1992510,MaDevil Demo
517,1859910,1992090,Legend of Mortal Demo
518,1776820,1991280,Eniko: Ghosts Of Grace Demo
519,1965800,1991080,Dice Tribes: Ambitions Demo
520,1417360,1989330,Kingdom Chess Demo
521,1842730,1988660,Nightmare: The Lunatic Demo
522,1114950,1986950,Learn Japanese RPG: Hiragana Forbidden Speech Demo
523,1986400,1986410,Echo's Climb Demo
524,1909750,1986140,Last Time I Saw You - Demo
525,1761870,1985280,FLASHOUT 3 Demo
526,1704730,1984700,Vacant Kingdom Demo
527,1958750,1983530,Hexfactory Demo
528,1650570,1983210,Red and White Demo
529,1129360,1983310,Pocket Wheels Demo
530,1175360,1982970,Doomsday Hunters Demo
531,1972440,1982040,Shotgun King: The Final Checkmate Demo
532,1943020,1979770,Escape the Ether Demo
533,1954640,1979150,真空战姬 Demo
534,1781960,1979250,Sigil of the Magi Demo
535,1977770,1977790,Hexes Demo
536,1835470,1977820,Spell Crisis Demo
537,1977450,1977850,Escape From Zombie U:reloaded Demo
538,1790370,1976560,Rogue AI Simulator Demo
539,1975550,1975560,Skystrike: Wings of Justice Demo
540,1646880,1975820,Rumble Runners Demo
541,1748650,1976010,RASKOPNIK: The Trench Warrior Demo
542,1686280,1975190,Strawberry Samurai Demo
543,1432360,1973900,RMaze Demo
544,1970220,1973480,Walk Hero Demo
545,1906470,1972310,Shattered Between Demo
546,1027650,1971860,Supernova Tactics Demo
547,1716810,1970990,Herodes Demo
548,1964970,1970190,Class Five Menorial GAME Demo
549,1781110,1969270,BlockStar VR Demo
550,1415890,1968070,HotRobot Demo
551,1967630,1967730,Survival: Fountain of Youth Demo
552,1957010,1967900,Undead Under Night Rain Demo
553,1934020,1967300,폴라 펭귄 포스트 Demo
554,1952270,1966510,Sai Saga: The Immortal Demo
555,1804980,1966050,Polyfury Demo
556,1960190,1965570,What Lies Between Demo
557,1763030,1964660,Master Key Demo
558,1846710,1964710,KiNoKoe : Tree's Voice Demo
559,1953670,1964730,Quetzal's Call Demo
560,1837690,1964160,Archtower Demo
561,1839090,1964170,Putty Putter Demo
562,1918710,1963090,Investigation Stories : gunsound Demo
563,1963130,1963150,MaryAnneEtte Demo
564,1885500,1961570,Path Of Becoming DEMO Demo
565,1946930,1961140,Ponster 怪武大赛 Demo
566,1959390,1960390,Fear the Spotlight Demo
567,1866320,1960150,Baladins Demo
568,1664240,1960240,Venaitura Demo
569,1550270,1959630,Togges Demo
570,1705620,1959030,EbonSide Demo
571,1669330,1958470,残世界的鸢尾花 Demo
572,1880310,1958090,Oogy: Can You Help Demo
573,1931370,1958180,JellyMen Demo
574,1956840,1957740,P R I S M Demo
575,1858760,1956450,Gem Worlds Demo
576,1511850,1955630,Dungeons Of The Deep Demo
577,1869570,1954140,Black Ink Demo
578,1929350,1952830,Ubel Demo
579,1793440,1952870,Shale Hill Secrets Demo
580,1952550,1952600,Mini Island: Cosmos Demo
581,1745020,1952660,Cleromancy Demo
582,1926720,2320750,The Adventures Of Bryan Scott Demo
583,1603870,2320780,Dad's Dice: History of Legends Demo
584,2201660,2319840,Marabundle Demo
585,2146500,2320120,Unluckily in Love Demo
586,2145530,2318960,Moonflower Demo
587,2262880,2318620,Heli-Cats Demo
588,1494560,2317800,Rogue Voltage Demo
589,1502750,2317280,My Familiar Demo
590,1479850,2316670,Chompy Chomp Chomp Party Demo
591,2196590,2317040,Krytix Demo
592,2403340,2404340,大科学家 Demo
593,2404040,2404050,Echo Bluff Express Demo
594,1924360,2402780,Lil' Guardsman Demo
595,2334280,2402380,Stick to the Plan Demo
596,1996750,2401260,POI: VR Dance Demo
597,2388110,2401520,Murder Cases Demo
598,2304580,2400870,The Abandoned Presence Demo
599,2397690,2400990,Blooby Block Demo
600,2385910,2400330,X Dead Detective Demo
601,2106560,2400470,クロステイルズ Demo
602,2348850,2400150,Ainmora: O Desastre Iminente Demo
603,2371040,2398960,5 Star Fishy Demo
604,2292960,2399030,MDF: Magical Defense Force Demo
605,2393050,2398830,Winterland Demo
606,2266360,2398860,Thumb Tanks Demo
607,2397400,2397410,Unnatural Season 2 Demo
